node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
CEBPB,ESR1,NR1H4,0.0412750108459008,0.0890734041340151,4.16843417019463,4.05106018230287,4.13904055039354,0.165852204484425,0.001,0.001,0.001,0.740672019320888
EP300,MYB,MEOX2,0.0,0.11144989750134,3.6676128733534,3.6724369179932896,3.92437142010266,0.156454975561583,0.001,0.001,0.001,0.6817812227710492
FOS,ELK1,TCF4,0.0808541145461863,0.138580550819996,4.16702251354854,4.17182038049654,3.07474931932553,0.20493743391147,0.001,0.001,0.008,0.669598902029378
GATA2,HHEX,AR,0.0083722085196633,0.108544664532166,4.13008158021332,3.94055887060323,4.32991459813385,0.196156263572766,0.001,0.001,0.001,0.6149858539783476
SP1,SP3,NR2C1,0.032277770370738,0.131282898825374,3.96440014838246,4.0650874653834,3.89080981249638,0.192589427718529,0.001,0.001,0.002,0.7212411678821752
ZNF423,EBF1,NKX3-1,0.0771069932229613,0.105437703615861,3.66924585561883,3.50054618461357,4.06987833991932,0.173410955476309,0.001,0.003,0.002,0.6076587067594442
MYC,NFYC,HOXA3,0.0306744259112035,0.114216542217338,3.71281556906532,3.89078371098196,0.589743665195112,0.155932540237095,0.001,0.001,0.681,0.7351047942043221
TCF3,TAL1,KDM2B,0.11061896297271,0.141305308721642,3.8920449096621503,4.15887378382314,3.82007299922598,0.168941991633881,0.001,0.001,0.002,0.7345812802579199
TBX2,ZSCAN4,FOS,0.0271388396229173,0.0759224883638383,3.49753394301326,3.32746653201011,3.82164209480388,0.151844976727677,0.001,0.003,0.001,0.5329091008413835
MSX2,RUNX2,ZNF683,0.0691379934496417,0.0764916086155673,4.62756628887499,4.4167625230445,4.99969577975806,0.152983217231135,0.001,0.001,0.001,0.48635105713793775
SOX8,OLIG2,TWIST1,0.0155128288303108,0.0946591394061787,3.7464410202447,3.84791072853194,4.41779202830782,0.141683231993151,0.001,0.001,0.001,0.7707014690802074
EP300,NR4A1,BARHL2,0.0617452400033942,0.131479901503128,3.45125386989117,3.68619912394534,4.21017165308525,0.166817302072626,0.001,0.001,0.001,0.7362778637556489
ESR1,POU4F1,FOXM1,0.0,0.121319901437452,3.86467955618125,3.96031523978006,4.30970998224719,0.166100521998506,0.001,0.001,0.001,0.6666945005123999
TCF3,TWIST1,ERF,0.0525683907744625,0.175948593159225,3.87284716125702,4.35295810501981,1.1834858174973,0.147871378525714,0.001,0.001,0.13,0.6530146197870585
NFYB,NFYC,ETV3,0.106615367893903,0.1085972565497,3.85810327117834,3.8042103434497,1.44772214994736,0.19212894680308,0.001,0.001,0.948,0.7100697430660496
KDM2B,ZNF589,GFI1,0.116363916606501,0.183833857299238,4.07369769292282,4.23103325137033,4.74070687217315,0.21486641325464,0.001,0.001,0.001,0.7198746993895627
RUNX1,MECOM,SREBF1,0.018694069281791,0.115982939100075,4.94366510279034,4.99127272828399,5.67635117878181,0.175763486883055,0.001,0.001,0.001,0.7570373168242482
ARID5B,BBX,USF1,0.007487727174138,0.130447023237547,4.00864414563555,4.12667407069672,4.3310276261189,0.193001667458863,0.001,0.001,0.001,0.7688255994484278
ALX4,LEF1,JUN,0.0173743766134309,0.159191726458292,4.12997623601533,4.40412782869514,5.17595151396487,0.169769302516377,0.001,0.001,0.001,0.7321693907998926
ALX4,LEF1,TCF3,0.0173743766134309,0.138676478202083,4.01338390551245,4.02603106367781,4.03166655063099,0.162372798451361,0.001,0.001,0.004,0.6602432595644989
LEF1,TBX3,BPTF,0.0,0.127163035509734,4.27890684680741,4.62736453163342,5.2507179104292,0.164310743760806,0.001,0.001,0.001,0.6668199691704992
LMX1B,NR4A2,GLI1,0.142808117886836,0.0837326682924127,3.7607971500449695,3.69029160436951,4.17748356124357,0.165574892257564,0.001,0.001,0.002,0.6359057524485291
TBR1,NEUROD1,E2F3,0.0,0.0960311777818539,5.96849880185703,5.88699957956592,6.38221673175571,0.173538534163782,0.001,0.001,0.001,0.5326946608315548
PAX6,NEUROD1,HOXC13,0.0,0.0567277723772728,3.7893014037453905,3.69996822880182,4.2932015435922,0.113455544754546,0.001,0.003,0.002,
ARX,MEF2A,TBX19,0.0,0.118729310253341,3.92644298855146,3.8056679421269,4.55373855785017,0.158010714450324,0.001,0.003,0.001,0.778064320082077
LMX1A,NR4A2,ZNF202,0.026522450208152,0.0902767468297868,3.9725650382231104,4.18541004858044,3.84334924773104,0.130540327193258,0.001,0.001,0.003,0.5940450083292173
LMX1B,NR4A2,HOXB2,0.142808117886836,0.108364930254458,4.09418337804079,4.17058935199613,4.68529643809949,0.155074949086792,0.001,0.001,0.001,0.6519674432809824
MYOD1,MEF2C,THAP1,0.0,0.086993456291862,4.23615170747572,4.252513622417,4.895964761740671,0.141280126028717,0.001,0.001,0.001,0.5668197129871314
SRF,KLF16,MECOM,0.314620415724988,0.268358227861619,3.63021420885716,3.59718338014539,4.34565778222819,0.272224536728077,0.001,0.001,0.001,0.5995549471100013
MITF,PAX3,FOSL1,0.0,0.102867883185545,3.9959043730604304,4.22341425761061,3.95737708063526,0.151305915079242,0.001,0.001,0.002,0.5570708406947271
FOS,JUND,IRF5,0.137243452694475,0.150203750448816,3.9080976287222495,3.35947547657423,3.5414719223945,0.182381200933016,0.001,0.001,0.002,0.74381026940328
PPARA,TEAD3,JUNB,0.0,0.165113291556736,4.35966474158544,4.81503338953094,4.16189451237494,0.177274961439978,0.001,0.001,0.002,0.6415679540224543
TP53,ARID3A,NFIA,0.0027874738019102,0.0762319252304969,4.14774679511939,4.04748954010258,4.46958846155361,0.152463850460994,0.001,0.001,0.001,0.6314166830141669
TP53,WT1,HOXA3,0.0,0.13809416766278,3.86159149099594,4.36749262976401,0.488543861799465,0.155643721078005,0.001,0.001,0.658,0.5581033145716253
UNCX,NEUROG2,PLAG1,0.160356588111183,0.120450594131413,4.52634525159675,4.38703374103657,4.99434746638752,0.166818585974233,0.001,0.001,0.001,0.3940437815350207
GCM2,MAFB,ZBTB3,0.0,0.121371489048991,3.31841645482206,3.45049389047205,3.83376348637968,0.171187665446385,0.001,0.001,0.001,0.795584668903374
MEF2C,SOX18,TCF4,0.0541435926460347,0.146556521955542,4.55290939252095,4.72745336825287,5.34578165521524,0.20153536212944,0.001,0.001,0.001,0.7336363545699364
MSX2,RUNX2,DMRTA2,0.0732534144524797,0.127562085512993,3.8464688500856896,4.33310191476564,0.27765072154019,0.137016709428966,0.001,0.001,0.344,0.5528927537527234
HIC1,HIC2,NR2C2,0.0,0.11698937258341,3.42071223031922,3.73407438983767,0.350939844653872,0.144196512443526,0.001,0.001,0.569,0.6864074349404605
E2F6,TFDP1,HOXB8,0.0,0.0833548872137317,4.41860288103179,4.25462631753159,4.65197198482727,0.166709774427463,0.001,0.001,0.001,0.6543054532288891
ESR1,POU4F1,RORA,0.0,0.125761884395289,3.38158022718726,3.18385785791084,3.70970895002521,0.146099971466771,0.001,0.003,0.002,0.6651870043564779
SOX9,SCRT2,RFX4,0.151661022317197,0.120600205987052,3.56559571115125,3.55514699259877,0.227695012199917,0.180453648892144,0.001,0.003,0.562,0.6994559500095568
GCM2,MAFB,REL,0.0,0.132690071780094,4.25355113752958,4.24700795539843,0.134247910922631,0.206973848997305,0.001,0.001,0.501,0.7772905091771884
RUNX2,HES1,ZBTB33,0.0078526501106477,0.110246543148659,4.07534352395756,4.12487978060659,4.60948824039993,0.177577576634901,0.001,0.001,0.001,0.6825113674208854
XBP1,RFX3,CLOCK,0.0,0.0843064649265536,4.10316369687963,3.935616010319,4.3433355412776,0.168612929853107,0.001,0.001,0.001,
BHLHA15,MYOD1,TBX20,0.0,0.0676899965106573,3.81352872931932,3.66569757766836,4.19919584564564,0.135379993021315,0.001,0.004,0.003,
GATA4,TBX1,MAX,0.0270827034745271,0.10162462605223,3.9416708883680496,3.9392527356106,0.0744734819116103,0.159154225783271,0.001,0.001,0.457,0.6433241091747254
RBPJ,HEY1,FOXP2,0.0057707214573778,0.15981103785289,4.25548716857693,4.09349123073141,4.60968628008258,0.17465734789733,0.001,0.001,0.001,0.6543905326946727
SP1,SP3,ELF3,0.0347595279835065,0.143825235740692,4.0936947154389,4.40930105538906,3.7714166610043103,0.190312524462871,0.001,0.001,0.002,0.7001358687082914
SP1,SP3,SIX3,0.035032929598688,0.133673929040731,3.90438454316504,4.10963979682206,3.87470170228215,0.186355245482224,0.001,0.001,0.004,0.6976836738107366
USF1,TCFL5,KLF2,0.116499174734328,0.200596491678816,3.59382064481048,3.8558162528570894,4.23523161834635,0.18360637349275,0.001,0.002,0.001,0.7091116630693909
MITF,PATZ1,TBX2,0.0326991166765001,0.136812443443151,3.98558878953293,3.83271833314998,4.36486782686902,0.212952027202014,0.001,0.001,0.001,0.6207905621218949
ATF3,HSFY2,RAX2,0.0064569063549919,0.0878676474350222,5.21925906476887,5.20284179065288,6.1746786952115,0.143513866288687,0.001,0.001,0.001,0.568998425693547
GATA3,ZBTB7B,GFI1B,0.0508102471447511,0.139913338560001,3.9982767219800306,4.3016211708935,3.3701670625842,0.18241271218302,0.001,0.001,0.002,0.7355370303046884
GATA4,SOX7,NFYC,0.0,0.0799336037634865,3.40241652803468,3.39011720658042,3.88456610689944,0.135883183754373,0.001,0.002,0.001,0.6178350185876847
SMAD3,RUNX3,TFEB,0.034600151639014,0.161291655464437,3.9308640054844703,4.08457707374814,4.43863627832468,0.197618932329745,0.001,0.001,0.001,0.6112757347558447
WT1,BARX1,JUND,0.0,0.0857484281751129,4.03000146415478,4.03074644077479,0.729737020277138,0.153475839345442,0.001,0.001,0.737,0.553814373192197
FOXD3,NANOG,USF1,0.0,0.121517756984901,4.57022331883402,4.53472519728101,4.50442104548606,0.144841755132796,0.001,0.001,0.001,0.582706423514645
JUN,STAT4,FOXJ3,0.0183236326071001,0.0912280794094332,3.32982302743884,3.373927884875,3.9434250445407506,0.140384550024066,0.001,0.002,0.001,0.7556814070407835
SMAD3,RUNX3,MESP1,0.034600151639014,0.164205404493579,3.60369757122012,3.88790828866059,3.04690282089037,0.188416653815806,0.001,0.001,0.005,0.6740694998567061
TP53,TFAP2C,NFKB1,0.0,0.0672898698313953,3.83471857639337,3.72442852612414,1.07066262242897,0.130597274957347,0.001,0.001,0.856,0.48472619835145553
FOXM1,CENPB,CTCF,0.0724645646970283,0.146452074979671,3.81732463759018,3.98945164702982,0.165733652183815,0.178046708072293,0.001,0.001,0.374,0.6726750117209576
LEF1,PITX2,FOXD3,0.0182633993973118,0.108915973726556,3.96852545690422,4.21464393256939,4.7705216118833,0.151572340394474,0.001,0.001,0.001,0.6930637166166959
SRY,ZFX,ELK4,0.212642465091061,0.290152146048808,3.81633361813773,4.08289895601874,2.30526746617055,0.203842589294404,0.001,0.001,0.018,0.5952901840824194
TP53,HIC1,USF2,0.0,0.111369173950761,4.23352141486469,4.25113582750317,0.267310390537355,0.168312566052359,0.001,0.001,0.341,0.6777166245724942
WT1,BARX1,VSX2,0.0,0.0807707436259128,3.54593986176303,3.54570718588586,3.86778761588574,0.145638551255454,0.001,0.002,0.001,0.5052354240448504
E2F3,TFDP1,BACH1,0.0312759967506162,0.0994018648952578,3.36311825326135,3.30564503702504,0.923808690069587,0.163934292506984,0.001,0.002,0.828,0.6923465919961108
E2F4,MYBL2,TEF,0.141248093978418,0.180318325933808,3.39576399558688,3.60384780615486,4.07474744026232,0.212084251455511,0.001,0.001,0.001,0.7193684273895463
AHR,ARNT,USF1,0.0,0.111490378632877,4.00385350509321,4.24872240700297,0.258569208860119,0.157964708998762,0.001,0.001,0.538,0.6755412320886406
EP300,TP73,EN1,0.043931821959196,0.0987527608683253,3.56461132196394,3.54322409949966,0.749232772798718,0.172986051400162,0.001,0.001,0.761,0.7821067815200127
ESR1,XBP1,E2F4,0.088781840482361,0.116356588242167,4.26176662797059,3.97725328560085,1.51763357853958,0.217326441973784,0.001,0.001,0.969,0.6820195415878658
GATA2,POU6F2,CTCF,0.0,0.100569042720413,3.95709822843602,4.133174039044,3.6736936758705294,0.155447422725919,0.001,0.001,0.005,0.5830871616078486
ISX,SRF,TP73,0.0870747004396248,0.0767415354438313,4.04459699585595,3.9163135356162098,4.42733086225916,0.148673727513266,0.001,0.001,0.001,0.5361803416762458
MEIS1,HOXD11,ZNF202,0.0,0.0737190640175554,4.15047766997311,4.16234816045093,0.569275779961372,0.131806882780769,0.001,0.001,0.654,0.5106916167382531
NFYB,NFYA,EHF,0.00978544521849,0.112711010722268,4.4190265425269,4.5905977136664,5.18808937493659,0.172915685624216,0.001,0.001,0.001,0.6629358138335353
DDIT3,CEBPZ,PAX3,0.0270022753816743,0.117565582865749,3.77314157491905,3.6818602224306702,0.0241970715902895,0.17800993410889,0.001,0.001,0.439,0.6618552922764692
NFATC1,EGR2,SOX15,0.0301236022058773,0.132794175430176,4.0859548726312,3.93632802860102,0.932345199824393,0.185106869156951,0.001,0.001,0.152,0.7011025053591926
NFATC1,EGR2,NFATC2,0.0304535454414498,0.116291198799033,3.7724421732086304,3.8609904875643295,3.93627669291342,0.173404706157745,0.001,0.001,0.002,0.7149780855350941
FOXP2,FOXP4,HNF4A,0.0,0.0677334885733663,4.05522227717639,3.94119013976768,4.7094171791837,0.135466977146733,0.001,0.001,0.001,0.6060692627294184
HIC1,HIC2,TBX19,0.0,0.086733342916125,4.67124225261881,4.50248271640816,4.97891602640081,0.17346668583225,0.001,0.001,0.001,0.7389386051813593
JUN,NFE2L2,TBR1,0.0335111700659421,0.122962098549169,3.44589762244821,3.70377911588358,3.22684497175523,0.143427043689531,0.001,0.001,0.003,0.8045358508645362
NRL,OTX2,ZBTB7A,0.147455263077947,0.0968462091082284,3.63385646525242,3.67622185640646,4.23441686499889,0.138441366938137,0.001,0.002,0.001,0.5472447425092467
NFATC1,EGR2,TFCP2L1,0.0304535454414498,0.0834812849179372,3.44865982107995,3.23235478942348,3.62407029325647,0.166962569835874,0.001,0.002,0.002,
NR5A1,PITX1,RBPJ,0.0803260155867176,0.131238612905253,4.91627975809788,4.7149397355653,1.08937701779925,0.171896118061919,0.001,0.001,0.862,0.5578291832507551
NKX3-1,SPDEF,PURA,0.0206245586668552,0.0960555064600003,3.44836489841701,3.57640976507517,4.10803014566401,0.143933812193179,0.001,0.001,0.001,0.7813304184636269
SIX3,NR4A3,KLF8,0.0410340957579662,0.146191999292102,4.40340952364417,4.68350820543656,3.8014211748569102,0.173889600558216,0.001,0.001,0.002,0.596660223779885
EP300,TCF7L1,PBX2,0.085973944931959,0.152127859000563,4.68316242087127,5.01080785954207,0.274336571303017,0.189442064592837,0.001,0.001,0.339,0.6902059313803403
KDM2B,ZNF75A,PTF1A,0.0,0.0903290190651949,3.62334755632058,3.62649858750118,3.66755330175216,0.157087058587773,0.001,0.002,0.001,0.6598709456908128
BHLHA15,MYOD1,E2F3,0.0,0.110743824618874,4.12134465992739,3.92429810055234,4.3341282338455,0.136375836455255,0.001,0.001,0.001,0.5765825920481943
IRF1,STAT1,CDC5L,0.106739836881677,0.19034027042665,4.37353597411876,4.37644628668258,4.6716348842509,0.214370528075965,0.001,0.001,0.001,0.6945444784049776
JUN,ETV5,GABPA,0.0008403601161357,0.127060550865863,4.41317094971978,4.62535483977048,3.90377331858163,0.178567334108399,0.001,0.001,0.005,0.7742785627722196
MAFG,NFE2,FOXO1,0.0392264125981963,0.105358874437052,3.84892402406703,3.9133106123758497,3.05750566409516,0.161840007349313,0.001,0.001,0.006,0.681267461535583
TP53,ID4,IRX5,0.089819834578305,0.179289051185199,3.42261686835712,3.72763694869227,4.0137252930656,0.173229354024031,0.001,0.001,0.001,0.6368923516754791
ARID2,SMARCC2,ESRRB,0.029379433751036,0.107034205104315,4.19868763571287,4.19758725417487,4.6731274058750705,0.173961668474181,0.001,0.001,0.001,0.6808028113240825
SMARCC1,SMARCC2,MEOX1,0.154643629300129,0.191360679100202,3.30833311570869,2.36550038759162,2.26089769704291,0.207979820044223,0.001,0.02,0.027,0.8003971770171785
AR,NKX3-1,GMEB1,0.0,0.135873110963133,4.10508986011807,3.70005956393577,4.2415296730818,0.17284453715314,0.001,0.002,0.001,0.7784160417639048
DMBX1,SRF,HNF4A,0.0753761096520482,0.0809599084600819,4.37959784859718,4.24227027286392,4.7731205313028,0.161919816920164,0.001,0.001,0.001,
FOS,NFATC2,NEUROG2,0.0,0.0966737540558842,4.16086162672176,4.08118141543186,4.53286728698156,0.172871402306224,0.001,0.001,0.001,0.7494107714633005
FOS,HSF4,ELF4,0.0480279404576693,0.106724946049753,4.13608801803381,4.17771302340385,4.72003933465423,0.162357386361108,0.001,0.001,0.001,0.7374490997797064
MAFG,NFE2L2,ARX,0.0,0.12181293185601,4.26185542150676,4.113447792889,4.57365532158122,0.166007047769532,0.001,0.001,0.001,0.7387984593579437
PITX2,MYBL1,HOXB6,0.0,0.0833463461975406,3.8628658364733,3.80464583557179,4.34794303404377,0.155121312159689,0.001,0.001,0.001,0.6378562452706281
MBD2,HINFP,DLX1,0.0807255488870027,0.252101332193923,3.5608465807935,3.18399833223415,2.94409849312522,0.219608616478511,0.001,0.002,0.005,0.679210839885522
AR,ERG,OSR1,0.0128285511876554,0.113495680802422,3.65200162399878,3.4921741703429,0.642337841910615,0.185786917648826,0.001,0.004,0.73,0.6923162722995219
SRY,ZFX,MAX,0.212642465091061,0.232276204314568,3.95892082051262,4.23536059230813,2.07115141160719,0.207181126027833,0.001,0.001,0.035,0.5508413612737707
TBR1,NEUROD1,BRCA1,0.0,0.078775178224532,3.87962846547894,3.91150284662449,4.43490509448108,0.127354813114829,0.001,0.001,0.001,0.5313253997793502
KDM2B,ZSCAN16,FOXO4,0.0,0.13923289693246,4.41305030969446,4.35968501850784,4.41298263235677,0.149406951502982,0.001,0.001,0.001,0.6600722913265092
HLX,STAT4,PPARD,0.0,0.0723274182307887,3.2781466751556,3.19703858459176,3.55225427023467,0.144654836461577,0.001,0.002,0.001,0.6556851330722935
GABPA,NRF1,BATF,0.0,0.123192743973673,4.46790765833377,4.79833608271323,4.79549245108155,0.158327655607501,0.001,0.001,0.001,0.6885660532940341
GATA4,NFATC4,ZNF35,0.0860756747926712,0.0754740053997208,4.10153489908927,3.98016524885006,4.50843356602322,0.150948010799442,0.001,0.001,0.001,0.5968588452257284
RUNX1,CBFB,MAFB,0.0058885030757767,0.0797404708234264,3.70245305617782,3.6956440803173,4.17921413029081,0.146495555669199,0.001,0.001,0.001,0.7552946475873891
MLX,MLXIPL,CREB3L2,0.0580157457313253,0.195157196784701,4.116722466756,3.58057816206219,2.31998913217912,0.224942613007903,0.001,0.003,0.025,0.6865224161970261
EGR2,HOXB2,FOXC1,0.0,0.146697030800331,3.73578256638112,4.03980972919588,4.55096896956221,0.159458035846858,0.001,0.001,0.001,0.7455032254562254
AHR,ARNT,TLX3,0.0,0.075359851819993,3.6429511561097696,3.53780779996304,4.06297749750459,0.150719703639986,0.001,0.001,0.001,0.667219683136763
ESRRA,NRF1,NFKB1,0.0,0.116401422842845,3.92841221269207,3.23482414236547,3.72015969394695,0.143880393685487,0.001,0.004,0.002,0.7598525432878271
LMX1B,GBX2,FOXO6,0.283126424195762,0.108953583967579,4.66704498806663,4.55764678388278,4.15775060269982,0.183717254661091,0.001,0.001,0.001,0.40943500117593495
MAFG,NFE2,PPARD,0.0392264125981963,0.081755866097216,3.75412077613958,3.61170844692566,4.02782621713458,0.163511732194432,0.001,0.003,0.001,
FOXD3,NANOG,NFIX,0.0,0.0716160314005911,4.06815146235323,4.02191395624676,4.09468404459564,0.132562596429999,0.001,0.001,0.001,0.6016995103843158
SIX3,NR4A3,TBX5,0.0410340957579662,0.10359899199844,3.46359963558123,3.49668189218387,2.56701033328943,0.146725075924094,0.001,0.003,0.021,0.5786956616515855
LEF1,SOX17,MEIS3,0.0,0.139192006054273,4.80822456507861,4.40055720437455,2.49087090077143,0.179251655468442,0.001,0.001,0.022,0.6966047196365464
RAX2,SRF,ESRRB,0.0183910020861324,0.13651773469631,4.15677118184237,4.39264820961817,4.6231924379771,0.182710535210482,0.001,0.001,0.001,0.7334411844166004
TBP,ZNF143,LMX1B,0.0339067523889445,0.104966360242965,3.61236750557866,3.6908390212181,3.25012796808219,0.164664874153607,0.001,0.001,0.002,0.67752549083589
PAX6,NKX2-2,SOX15,0.0233009654236693,0.125450079986041,4.7424584950617,5.07798566737272,5.52747984700785,0.150405898565528,0.001,0.001,0.001,0.5831271999786851
AR,RREB1,ATF5,0.116284388454637,0.0977356868467267,4.05824880712222,3.9224641966137903,4.40181908461613,0.18282691246031,0.001,0.001,0.001,0.7354933349522467
FOS,SRF,REL,0.0,0.113560735397133,4.07618417554136,4.16087854202104,4.43498897778851,0.153487853511515,0.001,0.001,0.001,0.7224325530699404
GATA4,ATOH8,OTX1,0.0,0.116999274712703,4.50865890497049,5.01252587211258,5.73250920952448,0.146063262287652,0.001,0.001,0.001,0.6179247982054681
LEF1,SOX17,MAFK,0.0,0.132182483802645,4.06579583509725,3.4313037047754,2.46951540904018,0.165501100300667,0.001,0.005,0.023,0.675500611919181
MAFG,NFE2,NFATC4,0.0392264125981963,0.166189073757678,3.93834150799855,4.20717194765051,4.73076615030387,0.165243935958598,0.001,0.001,0.001,0.7092143077901444
PITX2,LHX3,USF1,0.0806121498100709,0.113279039553172,3.45574124112648,3.09562032084305,3.55895075995369,0.14270119285696,0.001,0.001,0.001,0.6207247605969589
SRY,ZFX,THRA,0.212642465091061,0.212411682147437,3.33408959512627,3.47684978331412,2.79031893698824,0.189351903152664,0.001,0.002,0.009,0.6053158379806571
FLI1,BSX,SIX3,0.0308912731205293,0.104925944677471,5.25862087898732,5.40814286812832,5.98320203999493,0.155461849606456,0.001,0.001,0.001,0.5164113372063642
DLX3,SOX9,CEBPB,0.193831872422285,0.107437795518873,4.17265792486427,4.0464990981525295,4.41249285835731,0.198183383937551,0.001,0.001,0.001,0.6050586546977018
GATA4,MEF2C,BATF,0.0564177416275786,0.0642195996398665,3.89882402877861,3.89882681936227,4.54548952112999,0.121816481010212,0.001,0.001,0.001,0.584937680392857
JUN,HSF2,HOXA2,0.0,0.0777682250422562,4.2075197693851,4.11215828189182,1.02296623205057,0.152364960981628,0.001,0.001,0.819,0.6644195403779583
FLI1,BSX,NR2F2,0.029401310631525,0.105483299942581,4.31507268774599,4.31098513216767,4.90915647699917,0.137896776917718,0.001,0.001,0.001,0.538767204381243
JUN,JDP2,ERG,0.0220559845570092,0.180595076471896,4.63715227598266,4.68562542693752,0.0737926828044165,0.188677179281012,0.001,0.001,0.393,0.7077845669953446
LEF1,TBX3,SPI1,0.0,0.0949063177807253,4.37763325975167,4.41938034819477,4.88349031438065,0.162896708795188,0.001,0.001,0.001,0.6202983738373947
LMX1A,NR4A2,PROP1,0.026522450208152,0.0816637018938173,3.69518043651114,3.6988909540699297,4.25162032190158,0.122229655459809,0.001,0.002,0.001,0.6014044811400159
NR3C1,STAT5B,ZNF683,0.0417475775289775,0.117662308558785,4.68983221233887,4.6958543887974,0.477071223826844,0.18077953418209,0.001,0.002,0.273,0.6872508306125017
SP1,FEZF1,DMRT2,0.120533827210035,0.0784954220589896,3.6866021455804496,3.60861265763266,2.48352134534097,0.118314415019151,0.001,0.003,0.023,0.5345433366877124
