node1,node2,reg,Theta_Sigma,Theta_T,Theta_Tn,P,P_T,P_Tn,MI,CMI,Sigma
1.0,2.0,10.0,1.4097109887486432,0.3645099447550778,1.0441667874433944,0.924,0.605,0.864,0.3813083977033065,0.23162580649544304,0.0929814391315082
1.0,2.0,3.0,0.4951548765387156,0.13376339007624832,1.5994561738412834,0.684,0.504,0.97,0.3813082763440834,0.24208976717615208,0.09621304060701807
1.0,2.0,4.0,0.7695106537106818,0.40938773148499585,2.9606018099792895,0.226,0.64,1.0,0.3813083999559277,0.10617554799160281,0.10091845961569841
1.0,2.0,5.0,0.4755280049601425,0.8735217084513742,0.4926139424812378,0.682,0.799,0.657,0.3813083977033065,0.2955086382394714,0.09653847882936469
1.0,2.0,6.0,1.1399780577877032,0.515794752288722,1.8537766929539288,0.863,0.267,0.991,0.38130841403250315,0.21777132936975988,0.09412072159832541
1.0,2.0,7.0,2.742543642665873,0.5366798629665409,0.8778664101660137,0.003,0.262,0.82,0.38130829267328004,0.29349247620040414,0.10807554187528877
1.0,2.0,8.0,2.410312297456209,0.34951397400477185,0.875777081476957,0.008,0.329,0.185,0.38130820388031506,0.2568049938874249,0.10627504101799673
1.0,2.0,9.0,0.0964132894903417,0.641151272908428,1.0673952290462378,0.527,0.728,0.871,0.38130829267328004,0.19220026528613574,0.09770901231518402
1.0,4.0,10.0,50.26343103763549,8.535432328284845,0.06988934459044069,0.001,0.001,0.41,0.888253595780002,0.5875953461193025,0.33260077948823075
1.0,4.0,2.0,24.591583507852917,7.225057754927038,0.3651181446447101,0.001,0.001,0.609,0.888253595780002,0.6350827624574936,0.22268199867150434
1.0,4.0,3.0,64.93477773949827,10.204097287683787,1.9801398649986663,0.001,0.001,1.0,0.8882535376404652,0.6754328423277371,0.40462883694252894
1.0,4.0,5.0,38.454070703931755,9.369086712795058,1.488971473682063,0.001,0.001,0.948,0.888253595780002,0.7361510663209202,0.27911861902960067
1.0,4.0,6.0,47.9992486308946,7.834957067838339,0.17064398923336385,0.001,0.001,0.404,0.888253595780002,0.601082139212437,0.33210060606659003
1.0,4.0,7.0,41.4976848954742,9.800287843695548,1.0969671205686948,0.001,0.001,0.879,0.888253595780002,0.7323002241593318,0.2916734743355651
1.0,4.0,8.0,47.74008937810083,10.577138115203592,1.2142603694255034,0.001,0.001,0.912,0.888253595780002,0.6677174008802296,0.3284226725048515
1.0,4.0,9.0,44.966480164903416,8.155801398482433,0.13344753692337644,0.001,0.001,0.503,0.888253595780002,0.46970898168038544,0.3105681933984345
1.0,6.0,10.0,2.1300196965768774,3.0929718992351365,0.8931143567714835,0.987,1.0,0.825,0.3923884388716763,0.14946963138353161,0.0912431574602316
1.0,6.0,2.0,1.2594384097057487,0.8471140130043646,1.016086729349635,0.901,0.802,0.865,0.3923884388716763,0.22688887429358826,0.09405849595345428
1.0,6.0,3.0,2.9206429008100514,1.8024431353035066,0.8857974939270956,0.999,0.984,0.153,0.3923884388716763,0.09811600187260174,0.08793755404676207
1.0,6.0,4.0,9.264732724198435,4.576607841647215,2.5201376410093204,1.0,1.0,1.0,0.3923884388716763,0.08550485799160834,0.06654685012533441
1.0,6.0,5.0,0.47344270407453226,1.4204319180960052,0.09835208591011403,0.689,0.933,0.494,0.3923884388716763,0.22252531015250127,0.09653558746772653
1.0,6.0,7.0,2.606386831179126,2.3687842339556235,0.3548275333809081,0.996,1.0,0.607,0.3923884388716763,0.21193554766694356,0.08941998245020738
1.0,6.0,8.0,2.112377346325391,0.5515639573251615,1.9662583177150854,0.987,0.687,0.034,0.3923884388716763,0.16666439177834078,0.09097072242923526
1.0,6.0,9.0,5.398685506601669,3.947132531594773,1.8875688416048018,1.0,1.0,0.992,0.3923884388716763,0.10519474323706589,0.07969934226845181
