node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
HOXB8,HOXB1,RFX5,0.4426240984811010,0.2399928239964810,3.757545902633150,2.6747908600708400,3.326028360050460,0.2677896895315900,0.001,0.013,0.004,0.3502283146992890
HOXA3,HOXA5,ONECUT3,1.3332641246712900,1.0592762406468100,6.927293391478650,6.451059899858750,6.334337285141710,0.3779076463498470,0.001,0.001,0.001,0.37209159037473500
HOXA9,HOXA5,HOXB8,1.0201047777773100,0.7272675292485760,4.817422796204690,4.7158179989206600,5.588914148777360,0.3521923765726610,0.001,0.001,0.001,0.376859428577418
HOXA7,HOXA3,ONECUT3,1.0903002525183500,0.8282359326374130,5.732590213795740,6.191030201948970,5.4718333636226900,0.3095219217360700,0.001,0.001,0.001,0.3848181535787970
HOXA3,HOXA9,HOXB8,1.1386549814171800,0.706205820178716,4.546538303011220,4.699133783395290,4.733854783095010,0.3155847875055180,0.001,0.001,0.001,0.3883046319949270
HOXB3,HOXB6,HOXB8,0.7937088283347760,0.463981140315984,6.012924471562520,6.887185334171100,8.028550432596840,0.3221513237391580,0.001,0.001,0.001,0.3989713394337520
HOXA3,HOXA9,HOXB2,1.1386549814171800,0.6819326267834640,5.013703501294700,5.262049089947020,2.0312170372896600,0.3417451306635590,0.001,0.001,0.035,0.4033192899943210
HOXA9,HOXA7,HOXB8,1.112822518526140,0.7619409575742210,5.991125368036530,6.413183285688710,7.300578670177960,0.3592910309443420,0.001,0.001,0.001,0.4170626408507260
HOXB8,HOXB7,HOXD8,0.581465905969365,0.4632520998574520,3.579768810561190,2.748862866526380,0.9216816932099270,0.3153962502935040,0.001,0.008,0.178,0.4171876917183410
HOXA7,HOXA9,POU6F1,1.112822518526140,0.8082513461534010,5.594566233801290,6.046406984954440,0.2125675690245190,0.3458356470338130,0.001,0.001,0.538,0.423511974541304
HOXA7,HOXA3,HOXB8,1.0903002525183500,0.7671449207283360,7.205798348800280,6.987761632993830,7.7472519713150500,0.370551731959154,0.001,0.001,0.001,0.42408431833722300
HOXB5,HOXB3,HOXB8,0.7702160357690510,0.5046084963004820,4.866565697504760,5.745389631491850,6.515247973798680,0.2912305364858400,0.001,0.001,0.001,0.4248332665035870
HOXB6,HOXB5,UNCX,1.1664079793536400,0.9711241578368300,5.137468466742160,4.939772220845190,4.640357319142230,0.3452322963556990,0.001,0.001,0.001,0.4281027420894480
HOXB5,HOXB6,ETS2,1.1664079793536400,0.8956638180184430,5.37988234901437,6.020477923968760,0.8058363816549840,0.3570197617580770,0.001,0.001,0.19,0.42813480157058800
HOXB7,HOXB8,BCL6B,0.581465905969365,0.3740728964083330,3.6490350587886800,2.9974910018207300,0.4735113679955750,0.3146618791929220,0.001,0.005,0.304,0.4311527221640920
HOXB5,HOXB6,THRA,1.1664079793536400,0.9533282137281930,4.996835969207570,5.54915149858431,6.103771453668470,0.3400980561205890,0.001,0.001,0.001,0.43554454273123300
HOXA9,HOXA7,ERG,1.112822518526140,0.8190392580132030,5.816119756100370,6.357555219761030,1.7066093274870100,0.3632009678445830,0.001,0.001,0.063,0.43598916855737700
HOXB7,HOXB8,AR,0.581465905969365,0.4221806605812940,3.738255452375480,2.654616068494570,2.460192918075750,0.3347011782419810,0.001,0.009,0.017,0.43635544723024500
HOXB1,HOXB8,RELB,0.4426240984811010,0.2483284429116820,4.660840438763960,3.5775454869972600,4.135724246733550,0.2947394160741070,0.001,0.002,0.001,0.4401358622152810
HOXA3,HOXA9,HOXB3,1.1386549814171800,0.5924746153413660,4.861256239965470,4.509378988324090,2.2269490634561400,0.3426889634401430,0.001,0.001,0.022,0.44300368187452300
HOXB6,HOXB2,HOXB8,0.716368688180506,0.3885664777086700,4.177850896879010,4.484509957137250,5.453769853493930,0.3009577487550010,0.001,0.001,0.001,0.458648297139908
HOXB7,HOXB8,PBX2,0.581465905969365,0.4527533214428840,4.108534169068300,4.408026207852050,1.4251195735097,0.3432038060175300,0.001,0.001,0.09,0.46015727628853900
HOXB2,HOXB3,TP63,1.1451867527707100,0.8910706763452680,4.335108238877940,4.575093750270810,2.5423858944682000,0.3065030447290690,0.001,0.001,0.013,0.4655310678593150
HOXA9,HOXA7,MEIS1,1.112822518526140,0.5533910355489720,7.572672573477960,5.700203273872630,3.910790744037990,0.4322295376968390,0.001,0.001,0.001,0.4656296954901520
HOXB7,HOXB8,NR6A1,0.581465905969365,0.4268359624565840,3.6966894473943300,2.764738136487500,1.0102018800571200,0.319536708051225,0.001,0.003,0.841,0.4665847742097560
HOXA9,HOXA7,HOXA1,1.112822518526140,0.5925699664421920,5.931364475355030,5.744261158432530,1.3666977567819200,0.3574233333137180,0.001,0.001,0.093,0.4704351977618290
HOXA3,HOXA7,MEIS1,1.0903002525183500,0.6538889740905080,8.881606329913390,6.891045340539860,7.01234292949019,0.4275218655701700,0.001,0.001,0.001,0.4720607474059750
HOXB6,HOXB8,AR,0.4384483315082320,0.385019289176325,3.272678163464350,2.643381899908030,2.198176892994080,0.2904261820248420,0.001,0.006,0.031,0.4804797109200270
HOXA5,PBX3,NR1I2,0.5275203570932470,0.4366995080276840,3.961339912034270,3.740699680926430,1.214081917957130,0.2833390852384940,0.001,0.001,0.909,0.48054923178507600
HOXA5,HOXA3,HOXA1,1.3332641246712900,0.8537543065552140,7.389666982676940,5.570651918279430,4.6973955076366800,0.4106790796885300,0.001,0.001,0.001,0.4820221957827820
HOXA3,HOXA7,ERG,1.0903002525183500,0.9325481693243630,5.793622127824990,5.281317267598560,1.8309909298984400,0.3125928199910990,0.001,0.001,0.051,0.48381022284464900
HOXB3,HOXA9,NR1I2,0.4854346526350440,0.463021507363908,4.081390153796400,3.573855838342690,2.452116014212580,0.3542102720873960,0.001,0.002,0.016,0.48609928087927500
HOXA3,HOXA7,HOXB7,1.0903002525183500,0.6993433896321250,6.02222125706336,5.9150303185325600,6.442357753264270,0.3289740301194050,0.001,0.001,0.001,0.4876748041915210
HOXA5,HOXA3,MEIS1,1.3332641246712900,0.8391737498856490,9.51541547077816,8.991922254817960,9.75869936733074,0.4903104772526900,0.001,0.001,0.001,0.49210862504580100
HOXB5,HOXB2,HOXB8,0.7825882731728040,0.3990864968292070,4.03695958684303,4.238564283445810,5.152109078307150,0.2924064027286800,0.001,0.001,0.001,0.49617797290201800
MEIS1,PBX3,NR1I2,0.4897207837210280,0.3627763852026080,3.828949570439220,3.232978104851130,1.8859711105197800,0.3271565288111450,0.001,0.001,0.986,0.4997317871223010
HOXB5,HOXB6,MEIS1,1.1664079793536400,0.81945076678938,7.205339165103100,6.846795734968680,1.0526323445646700,0.4274336627252010,0.001,0.001,0.157,0.5019282244916610
MEIS1,HOXA3,NR1I2,0.4401210487738210,0.4520908780827420,3.721762853610660,3.117699333432970,1.8737040168011500,0.3344671401350780,0.001,0.003,0.992,0.5022198439187860
HOXA9,HOXA5,HOXA1,1.0201047777773100,0.6431221385062290,3.968959515512930,2.325853868857930,3.0968538773530300,0.3139326643261810,0.001,0.011,0.002,0.5026817501944240
HOXB6,HOXB7,HOXA1,0.6863109245580840,0.2984820102103120,3.7356839329582300,3.012840491824370,0.4294107861106600,0.2932531464975980,0.001,0.007,0.627,0.5101892994448530
HOXA3,HOXA5,PBX3,1.3332641246712900,0.8203157071528920,8.265877443385080,8.048661834126520,4.433008782576190,0.4376252841058080,0.001,0.001,0.001,0.511451993459111
MEIS1,HOXA9,MEF2C,0.5307192066827780,0.4612890037555300,3.722699145626830,2.764416182924210,2.22824078522724,0.3506261092767070,0.001,0.005,0.027,0.51249087769777
HOXA5,MEIS1,NR1I2,0.5024611487082550,0.4832978460660250,3.833125178428890,3.725934813638580,1.036510902747560,0.345976779973049,0.001,0.001,0.85,0.5126219733769250
HOXA9,PBX3,DLX4,0.5031072721005150,0.3522332197019550,4.158114174382930,3.1873292752275100,2.9166172332325900,0.3001240624371040,0.001,0.005,0.013,0.51277577267337
HOXB3,HOXA9,MEF2A,0.4854346526350440,0.4120095289205890,3.4304016884134500,2.431886029315880,3.382974273203080,0.3256239634610550,0.001,0.019,0.005,0.515803927261441
HOXB3,MEIS1,NR1I2,0.6031071942363160,0.5152663796923530,3.5773715161515900,3.45346188167372,1.6260422527572100,0.3475759926857990,0.001,0.001,0.066,0.5158840694794480
HOXA9,HOXA3,MEIS1,1.1386549814171800,0.6127000658447050,6.147447079766380,5.840250429920060,2.9386954143486600,0.3760884062751180,0.001,0.001,0.007,0.5167194211295830
MEIS1,HOXA7,MEF2A,0.5164781609026400,0.3798166003719130,4.032800141217100,3.50777008874125,2.043106004042,0.3454984911780720,0.001,0.001,0.033,0.5167457946996800
MEIS1,PBX3,DLX4,0.4890585320653980,0.4449120165667050,3.533617949612020,3.2528803079524800,0.0220047451262315,0.3154549842791740,0.001,0.002,0.456,0.5174291321791160
