node1,node2,reg,Theta_Sigma,Theta_T,Theta_Tn,P,P_T,P_Tn,MI,CMI,Sigma,S
1.0,99.0,14.0,3.0237527380658498,2.369182824078828,2.310930296853686,0.002,0.023,0.022,0.07352581978708,0.0842109021866642,0.1113573948445557,0.595716345970869
1.0,99.0,37.0,3.0738829830250483,2.8242331247418297,1.4946423491724803,0.002,0.014,0.081,0.07352581978708,0.0774268540445614,0.1118072682436404,0.6724144153688009
2.0,30.0,36.0,2.924113235404937,1.5930104781310443,0.6780285661887052,0.004,0.067,0.728,0.0483952517317298,0.0843107835762154,0.1084397412337015,0.701939676038981
2.0,30.0,42.0,3.0140574343154056,2.5694990141968352,0.1650432062138036,0.004,0.019,0.523,0.0483952517317298,0.0752604292808641,0.1075140614940774,0.6387394208818709
2.0,93.0,15.0,2.993138523127218,1.6225721689950077,2.0085624977773358,0.002,0.067,0.041,0.0464671418185327,0.0882700089249228,0.1036683136425762,0.636680190670392
2.0,93.0,34.0,3.197002847709284,1.5868410026707052,0.925055032456091,0.001,0.067,0.17,0.0464671418185327,0.078678919978969,0.1061537513767959,0.5917964307813173
2.0,93.0,65.0,3.2342434066814945,2.1352991270636816,2.032779598510144,0.001,0.036,0.037,0.0464671418185327,0.0835164556842736,0.1059990384493847,0.6581236794961377
2.0,93.0,95.0,3.2964359622881063,2.850342446957653,3.275016380572444,0.001,0.016,0.009,0.0464671418185327,0.0736890974066302,0.1065836974279376,0.5854012598271776
3.0,4.0,30.0,2.779603164307362,1.414538310403558,1.831829587182689,0.003,0.083,0.051,0.0617842254879033,0.093024335751753,0.1127711951909607,0.5705215944666092
3.0,4.0,54.0,3.424014452218729,1.5407167018218204,1.8858134602699657,0.001,0.078,0.047,0.0617842254879033,0.0867209675649057,0.1168821868648446,0.6808706136309215
3.0,15.0,9.0,2.7703431042047515,0.648354528473233,1.0917095067471263,0.003,0.237,0.138,0.0673839127992668,0.0889190544292048,0.1070619662080758,0.5059823522880419
3.0,34.0,12.0,2.771484614054052,2.3463671569142828,2.132723316663425,0.004,0.028,0.034,0.0693282624866036,0.0974348305845406,0.1095274807356188,0.6173569752195954
3.0,96.0,53.0,3.137080409360945,1.0906997661838238,1.2851923257001912,0.001,0.134,0.117,0.0841839989171973,0.1073216300773688,0.1168422252493645,0.6825496008975737
3.0,96.0,67.0,2.962475428718085,0.8790070197964551,1.3867871410792498,0.003,0.174,0.09,0.0841839989171973,0.1114435101085965,0.1164033857799652,0.7131018263271179
5.0,62.0,60.0,2.7414843668936366,2.1292380259155097,0.1625291729665705,0.003,0.039,0.514,0.0803981383060667,0.0936052136193971,0.1121680175655991,0.6223410792328675
6.0,39.0,79.0,2.6824805335798723,1.3369004904263146,1.709732773523688,0.004,0.098,0.064,0.0340556759909151,0.0690929909419936,0.1032242857886722,0.6075993672032033
6.0,63.0,51.0,3.1661154046692404,2.625739707854396,2.144072359609152,0.002,0.014,0.036,0.0057629846001852,0.0671924518956981,0.0967663553133053,0.5993327561416284
10.0,72.0,74.0,2.8081030963952056,3.6855669951226897,0.5383109441648747,0.003,0.005,0.253,0.0555959060532886,0.0624572718906664,0.0966824319169798,0.56567829367918
10.0,80.0,59.0,2.9086121598209616,2.6411938820216,1.2918180069869931,0.004,0.016,0.104,0.0438297711997961,0.0757990353218038,0.1070165731573084,0.661774991580741
10.0,95.0,40.0,2.8812400310908988,2.2870274654146296,1.6722359292511135,0.002,0.023,0.062,0.0268910721175572,0.0914853965116896,0.1005298065688878,0.6962163032255881
10.0,95.0,48.0,3.2095941536927555,4.5538669136725565,4.956578789912274,0.003,0.001,0.001,0.0268910721175572,0.0672965930631191,0.1030694676837378,0.5021942643185621
11.0,45.0,14.0,3.1191653638672783,3.266687728619825,3.514069269877479,0.004,0.009,0.004,0.0187009025205568,0.0753888658972318,0.1012240525346215,0.5310576274494584
12.0,43.0,77.0,2.9408983392500856,1.336951224861023,1.7232275817558806,0.001,0.103,0.063,0.0,0.0587289285113507,0.0895604101131586,0.6148252013088389
14.0,37.0,6.0,2.9373188976993467,0.8339229329887193,0.6462592170355899,0.002,0.192,0.228,0.0915612477317155,0.1137193788545641,0.1268674717328484,0.6097490194946797
15.0,75.0,13.0,2.9097231783092474,1.6185930836276885,1.026624953555977,0.004,0.062,0.151,0.0898592932848041,0.1028361860625559,0.1154434989103743,0.641005023126139
15.0,75.0,37.0,2.957397450596177,1.9045519256507089,2.005066312187178,0.003,0.039,0.033,0.0898592932848041,0.097476885536584,0.1165168492467777,0.6146242136544204
15.0,75.0,43.0,2.929744233988215,4.250879351064704,4.757563914902902,0.004,0.002,0.001,0.0898592932848041,0.0919510470285958,0.1159602167192501,0.5866455464837939
15.0,83.0,13.0,2.7718166190388565,0.0071418652963291,0.0104965878080894,0.003,0.437,0.434,0.0769804818848829,0.0939739459915879,0.1090249881974447,0.5884155399482758
15.0,83.0,49.0,2.781465703968455,1.624779336565408,0.0089741595122981,0.002,0.065,0.45,0.0769804818848829,0.0800586560674021,0.1072243152664914,0.6750402167589836
15.0,83.0,53.0,2.978266697240263,0.6391711354342985,0.7121628001781449,0.002,0.249,0.737,0.0769804818848829,0.0921713056888902,0.1099335774907401,0.6094846245871837
15.0,83.0,72.0,2.714177629516365,0.2824506940660145,0.7359428506024454,0.004,0.353,0.217,0.0769804818848829,0.0747043829610861,0.1075890999540406,0.6161702010105915
16.0,92.0,2.0,2.808153727177404,3.3408917340621307,0.318375962449658,0.004,0.004,0.315,0.0325422939075137,0.0599724223234416,0.0946668194796853,0.5884883196980328
16.0,92.0,42.0,2.507096261968698,1.5001709023578569,1.8271160041094383,0.004,0.076,0.053,0.0325422939075137,0.0650443933961427,0.0927067835234176,0.5879755554444138
16.0,98.0,30.0,3.0775751803466087,1.4285524554906597,0.7322584731937954,0.001,0.085,0.214,0.0408867931036693,0.0690875627109163,0.0973469580035887,0.6738644805073544
18.0,39.0,15.0,2.737527421884637,2.1618016237781434,2.0600905253437203,0.004,0.031,0.031,0.0307516608319042,0.0627651688118933,0.0948230972623312,0.5081887817601723
18.0,39.0,97.0,2.9256014323502257,1.2743275394930218,1.6386494379982477,0.004,0.117,0.068,0.0307516608319042,0.0730886855978208,0.0969270601670088,0.6631691452402418
18.0,53.0,72.0,2.7478765829781318,1.3316692693795913,1.1584493986515192,0.002,0.088,0.121,0.0883594245616903,0.0895613854710349,0.1156138009038869,0.6047245394350926
19.0,50.0,68.0,2.79009090556403,1.1394525649106066,1.5316879236355094,0.004,0.117,0.073,0.0359588150886658,0.0650342397427853,0.0982633691674925,0.6434372899605982
19.0,83.0,10.0,3.3065931304769243,1.8433452950504123,0.8083629432950622,0.003,0.044,0.197,0.0759365216295577,0.0769863887580686,0.1153426283675692,0.5284763083774205
19.0,83.0,5.0,3.2019681517993326,3.0248128063090225,1.2297312137258014,0.001,0.006,0.115,0.0759365216295577,0.091676638894312,0.1127760212187886,0.7148348690295893
22.0,50.0,14.0,2.7373961070964707,1.7194860687804483,1.230039901953194,0.003,0.055,0.115,0.0675071386827905,0.0791662643221854,0.1068369582931769,0.6857037778996333
22.0,50.0,1.0,2.718680655876066,0.9910602074133278,1.4399731400870843,0.002,0.146,0.088,0.0675071386827905,0.092713879357164,0.1074557487220575,0.5433602605223086
22.0,50.0,84.0,2.997101514341196,1.829618966252705,2.32289282548127,0.002,0.055,0.028,0.0675071386827905,0.0841616221877857,0.1076714437038113,0.6656574425637227
22.0,50.0,95.0,3.343221140764929,1.6993848740258966,2.033068013639189,0.001,0.063,0.041,0.0675071386827905,0.0731226527802694,0.1099972476686833,0.5996571155320001
22.0,61.0,32.0,2.6366070089362954,0.9771987779830832,0.5793583039910375,0.004,0.159,0.259,0.1323680078622526,0.1150456541588517,0.123052544715494,0.6207410717637676
22.0,61.0,58.0,3.336757179347856,1.7293944603080271,0.9240737519078456,0.001,0.056,0.17,0.1323680078622526,0.1336353869669798,0.1298609469539785,0.694389659228036
22.0,61.0,82.0,2.857399845662815,4.1171104981910585,3.004325013340377,0.003,0.002,0.01,0.1323680078622526,0.1281393986534784,0.1256785380744684,0.6109222486329108
23.0,56.0,74.0,2.454794646090232,1.1510509185051587,1.093065499628363,0.004,0.122,0.132,0.0737647796272513,0.0715188568735971,0.1072171642760185,0.5543909593855995
23.0,74.0,15.0,2.8487228637089705,1.073264374651244,0.2905612855595665,0.004,0.138,0.327,0.0303422100165393,0.0720498820753439,0.0956764936317722,0.6156439191990528
24.0,90.0,33.0,3.15204016411123,3.3487887879423397,1.3301176911733306,0.003,0.005,0.104,0.0282730015008683,0.0827399234868565,0.1000317033988189,0.5456602084988643
25.0,44.0,1.0,3.067298904247103,2.8404747052463835,1.1060147268423273,0.001,0.014,0.126,0.0445547755105684,0.075623165296891,0.1003599717579962,0.684085582793591
25.0,44.0,71.0,2.84157835758872,3.32114626898184,3.747844996897459,0.001,0.006,0.004,0.0445547755105684,0.0699819473976082,0.0983638853414935,0.5702688123410412
25.0,57.0,26.0,2.945463484991117,1.021671043327316,0.0810805345417919,0.001,0.147,0.41,0.0326063245684631,0.073705459343602,0.0959847569293643,0.6071406650572203
25.0,63.0,51.0,2.848419409941254,1.5812789476389024,1.9038814080054745,0.004,0.078,0.054,0.0227689451079733,0.0753569371735646,0.0989803238832072,0.6124142779863412
28.0,60.0,19.0,3.2512241359521417,0.7242406162342324,0.1038503646693588,0.001,0.208,0.505,0.0839708228814757,0.1124375656488334,0.1146540472931728,0.7033995824308137
28.0,60.0,21.0,3.222168055698181,2.5970467780229898,3.0320136013298997,0.002,0.017,0.011,0.0839708228814757,0.1006125712451644,0.1155213934012746,0.6794367015605769
28.0,60.0,36.0,2.9732011556539684,1.609025895582063,2.110671734905142,0.004,0.064,0.033,0.0839708228814757,0.099247422359445,0.1128367937491866,0.6183762085021437
28.0,60.0,42.0,3.0227240863649643,1.1648466802285062,0.2855081143352005,0.003,0.122,0.342,0.0839708228814757,0.093080799078373,0.1121145907738014,0.5932702598589347
28.0,60.0,52.0,3.0324070656693327,0.7277231536462014,0.5418569993284892,0.004,0.206,0.254,0.0839708228814757,0.117945746735025,0.1126111306609666,0.690133838146016
28.0,60.0,58.0,3.035375322926449,3.033279046412072,3.4233615751888182,0.001,0.004,0.002,0.0839708228814757,0.1056519501749298,0.1137526137676126,0.6991659975807633
28.0,60.0,67.0,3.299406990073791,4.582066125938591,4.48032382592432,0.001,0.001,0.002,0.0839708228814757,0.092828271935151,0.1157247918953648,0.6889687804435655
28.0,60.0,6.0,3.29499848069033,1.1723565011944934,1.658017617013455,0.002,0.123,0.065,0.0839708228814757,0.0871524000185738,0.1145582624908183,0.6990544215706067
28.0,60.0,84.0,2.86363618226899,1.9455886056088103,1.159639994810268,0.002,0.047,0.118,0.0839708228814757,0.0824188288510671,0.1121338093796873,0.6081677213313104
28.0,60.0,87.0,3.174273828734336,1.7943448721954014,1.498040580320368,0.001,0.053,0.082,0.0839708228814757,0.0965022375064166,0.1137509457475098,0.6728594258596136
28.0,60.0,88.0,3.16060780091381,1.062494361967476,1.287563925118817,0.003,0.15,0.114,0.0839708228814757,0.0965662870561007,0.1142511212054195,0.688896951972876
28.0,60.0,89.0,3.2964343016244,2.9257980134903523,1.5756701350441409,0.001,0.011,0.968,0.0839708228814757,0.098068063679973,0.1159601177858282,0.6647602648185499
28.0,60.0,8.0,2.9900987964834003,3.631116221329679,0.4750285178531915,0.001,0.002,0.282,0.0839708228814757,0.0835291515595977,0.1132956325771553,0.5297926003232649
28.0,60.0,94.0,3.492749681740333,1.04950159097686,0.586268818292255,0.001,0.133,0.244,0.0839708228814757,0.0968254515426009,0.1161546658381275,0.6788318764969373
28.0,60.0,95.0,3.332813665677776,3.854392710576749,0.8826888573445407,0.001,0.002,0.17,0.0839708228814757,0.1014147629828699,0.1165518685719795,0.5694462495055168
29.0,42.0,40.0,2.710589209531567,2.4100550815066075,0.3382575197655633,0.004,0.016,0.588,0.0223461768295489,0.0786407443659963,0.1030548249425415,0.6992958915472159
29.0,54.0,66.0,3.288965270586718,2.5611604274657767,0.8443875288856513,0.001,0.019,0.177,0.0712512311683868,0.0885020234183242,0.1169350999700648,0.6200725625563505
29.0,54.0,90.0,3.0126441360727587,2.101968302894716,1.9240634464002104,0.003,0.034,0.046,0.0712512311683868,0.0895196327195789,0.1139746379064534,0.589946800272645
29.0,77.0,27.0,2.661194014442854,1.7702619105191413,1.0037761035978343,0.004,0.058,0.851,0.0728425142874886,0.0831018073914957,0.1090597150736156,0.6706590702286704
29.0,77.0,41.0,3.034955005722547,2.0972083399228416,1.1840279322322784,0.002,0.036,0.114,0.0728425142874886,0.1123399226232953,0.1129075306982185,0.6599012613253934
30.0,44.0,73.0,3.0034715786183317,2.9204864888675024,3.333005811614362,0.002,0.009,0.004,0.0541652697078012,0.0865616410956862,0.1101966470626442,0.6044174093432466
30.0,56.0,38.0,3.037386335223242,1.6588749219517984,1.6333333109574333,0.001,0.066,0.068,0.0807323010036995,0.0916525402036246,0.1082522368158275,0.6185272441675369
31.0,44.0,14.0,2.754052145397722,4.92658793276691,0.393878478982412,0.004,0.001,0.295,0.0872586749958417,0.1109019267605313,0.1241698899948826,0.6119077160366191
31.0,44.0,73.0,3.0097357381535885,2.5482123969367847,1.5114883442870668,0.001,0.017,0.081,0.0872586749958417,0.0979890896354246,0.1262593541341097,0.6198931332377753
32.0,56.0,52.0,3.0175584918905582,1.7754137860592758,1.3056572321440911,0.003,0.056,0.103,0.0589515306906687,0.083797886380628,0.1094049402937725,0.6127970395372666
32.0,56.0,97.0,2.890200665452156,2.8379492023882182,3.1786980285912403,0.003,0.013,0.005,0.0589515306906687,0.0891582102186916,0.1083232853393309,0.6278544616424191
33.0,88.0,14.0,2.798620332968817,1.0830774076920198,1.574072104417095,0.004,0.125,0.068,0.1076749677217563,0.0888974007256249,0.1146888562235782,0.6005846047387402
35.0,67.0,38.0,2.837613485075382,1.179320262593447,1.2514464974884203,0.003,0.112,0.113,0.0413568165184594,0.0619043824977294,0.0942763364646948,0.6826863791514993
35.0,68.0,37.0,2.971811718461084,1.9311673254302888,1.0356948150014864,0.004,0.042,0.149,0.0741759299706998,0.0982800905751976,0.1137582749821166,0.568127564965059
35.0,68.0,58.0,2.575261952444091,2.746204901749637,2.7625914590766416,0.003,0.014,0.012,0.0741759299706998,0.1020748988393457,0.1080985298710891,0.6383853446459269
35.0,68.0,5.0,2.9181126351667253,0.8868385707590813,1.3795553260791715,0.003,0.172,0.096,0.0741759299706998,0.0850537760646209,0.112041260499107,0.592691265057176
35.0,68.0,74.0,2.5806359389743045,1.819366492568054,0.3549560361503507,0.003,0.047,0.315,0.0741759299706998,0.0918995356532182,0.1094646912422299,0.5828938331829392
36.0,68.0,66.0,2.8515490542453046,1.3187224857939717,0.9948113744573028,0.004,0.099,0.157,0.0777862007842493,0.1030849295895232,0.1186390399542709,0.7000308925329538
37.0,91.0,26.0,3.053072992609718,1.701616575934783,0.3219724891818097,0.004,0.053,0.321,0.1379371926710684,0.136185034811527,0.1366409656149393,0.5574853286040968
37.0,91.0,44.0,3.1455592586757555,1.707688740775955,0.1167975205603601,0.001,0.069,0.413,0.1379371926710684,0.1353066762131384,0.1375452865663267,0.601861477777098
37.0,91.0,87.0,3.64473624776945,2.2563762007656205,0.7048926283134181,0.001,0.03,0.217,0.1379371926710684,0.1372417609716819,0.140087527086976,0.5318980694764968
39.0,84.0,27.0,3.0564357140700147,4.578865032456196,0.1967972399236181,0.001,0.001,0.368,0.0372367351295297,0.0783426876992783,0.1038434283943457,0.6025747813573574
39.0,93.0,80.0,2.762945428687252,1.1294860163077836,0.1717879294268614,0.002,0.13,0.523,0.0435960191584987,0.0776513723709839,0.1019617892225418,0.5316220681919818
42.0,93.0,52.0,3.183470755489308,3.3769828180123427,2.4232351309153137,0.001,0.007,0.019,0.0613762145164855,0.0877461266279319,0.1072028536892121,0.6063005042685556
42.0,93.0,71.0,2.771980860021922,0.32929962939394,0.1190883605430785,0.002,0.321,0.405,0.0613762145164855,0.0917104276407577,0.1051197693486288,0.6341260052520358
43.0,48.0,88.0,2.427239650889117,3.697801614629864,0.2165475224793275,0.004,0.001,0.524,0.0286495780879079,0.0712959528873982,0.0976456192364629,0.6123441557283998
43.0,95.0,28.0,3.0600337188450264,2.264804656020536,0.4259783407541768,0.001,0.026,0.628,0.0278691480599979,0.0728561506972748,0.099956680394019,0.6475608848124135
45.0,74.0,52.0,2.688023377345644,3.3541622855219817,3.1954501200695264,0.002,0.005,0.008,0.0455513471387414,0.0901950413963607,0.1126323434663472,0.6146641464259085
47.0,53.0,88.0,2.865396673592762,2.223824924924888,1.49673002073128,0.004,0.03,0.081,0.070113232618187,0.0887457785408862,0.1044586626263974,0.6294903742177607
47.0,53.0,96.0,3.00647013158636,0.7243065956929966,1.0399793162266182,0.002,0.208,0.147,0.070113232618187,0.0860218178678335,0.1057052874756869,0.5706244353064869
48.0,88.0,87.0,2.814214121648811,1.2157435143920534,0.7143347404898645,0.003,0.12,0.204,0.021424600657153,0.0768518843344467,0.0999754960563279,0.621984244115773
50.0,61.0,73.0,2.8214231238314564,1.6660763412749475,1.770547046947202,0.003,0.062,0.057,0.0916758451326087,0.1144980791697859,0.1226399450904358,0.6132220009771174
50.0,89.0,82.0,2.86748337493016,1.6636088306552683,2.110511563252456,0.004,0.063,0.035,0.0616541584872987,0.0873100401205543,0.1079250740505686,0.6065745307390088
53.0,59.0,25.0,2.7252122734069046,3.439030956508002,0.2136356261281198,0.004,0.003,0.532,0.044061203356847,0.0612467527039751,0.0956528924455666,0.6232611911783843
53.0,59.0,4.0,2.749045554238847,5.036370629685488,3.0016219359037297,0.002,0.001,0.007,0.044061203356847,0.062848111418556,0.0965749350139002,0.54513822360129
53.0,59.0,71.0,2.7810169804859965,1.453885927840295,0.8440146630668298,0.004,0.084,0.176,0.044061203356847,0.0657660901845036,0.0957490388713442,0.6573887350193544
53.0,59.0,85.0,2.7422221051113347,1.2824981845180536,0.2284530073278623,0.002,0.108,0.356,0.044061203356847,0.0693337588786207,0.0953728977493413,0.6214775877041534
53.0,59.0,8.0,2.8975258731420133,3.796285121636235,3.4757874617028106,0.001,0.001,0.004,0.044061203356847,0.0574350211815246,0.0972897078539976,0.5577869296554607
55.0,58.0,17.0,3.1147398172921528,2.428980840657784,2.748735248523323,0.003,0.016,0.012,0.0635441561264889,0.0741712603732404,0.1068546409961948,0.5772991029633642
55.0,58.0,26.0,3.4399848782843687,3.3074601160239907,1.707404907644261,0.001,0.006,0.061,0.0635441561264889,0.0927341506399933,0.110327566034573,0.5861280901638108
55.0,58.0,75.0,3.064700591631987,2.1166992994555405,2.5432371536735805,0.003,0.03,0.013,0.0635441561264889,0.090480399295384,0.1059046337509565,0.6787733861379253
55.0,58.0,82.0,3.0487841350684395,4.257394731270828,0.7510511557315537,0.002,0.001,0.209,0.0635441561264889,0.0917613576243291,0.107416941973122,0.5574893684776094
55.0,83.0,81.0,2.6306323018275752,2.060839036334453,2.0555686718911157,0.004,0.035,0.034,0.0571471285707048,0.0741620119642043,0.1000264384731542,0.5038199275207818
61.0,91.0,16.0,2.792136700986968,2.577728009144988,3.007417502642359,0.002,0.016,0.007,0.0625071268672687,0.0819848024964694,0.1041782564184281,0.5955256023826689
62.0,67.0,54.0,2.8302458893825566,2.113249257540073,1.716732692686055,0.003,0.033,0.056,0.0662993865189438,0.0760808657729215,0.106959975079472,0.5034386607600981
63.0,99.0,66.0,2.6446127793926486,1.4584477375463878,1.8657890292369297,0.004,0.085,0.049,0.0379627892241059,0.0733777254067259,0.1004190016150267,0.7010981226005943
64.0,77.0,57.0,2.697005325964968,2.9097156293828474,0.3627923423995071,0.004,0.01,0.597,0.0348125170224058,0.0669489069237959,0.1035798020672604,0.6025445560733066
64.0,100.0,60.0,2.684748738692379,0.9955657171485802,1.379664621540608,0.004,0.149,0.091,0.0427173061873569,0.0715272607251633,0.0984243616143977,0.711613767963869
66.0,86.0,16.0,3.076830845698085,3.431583588592581,3.7991039891725737,0.001,0.006,0.002,0.0633301044804683,0.0819509478990092,0.1080959353332319,0.5555843006828697
66.0,86.0,21.0,2.9005822657109186,1.6562935878416825,0.2352478564806673,0.003,0.063,0.366,0.0633301044804683,0.0724230324980556,0.1061239932972805,0.69357522770889
68.0,72.0,54.0,2.949212088949041,1.434433925563122,0.360348229153571,0.003,0.09,0.306,0.0435238790689469,0.1023237620076677,0.1088729166340832,0.5572859967622814
74.0,79.0,10.0,2.9254915130305483,2.29138487531561,2.4961690086684647,0.003,0.025,0.018,0.0806670774927322,0.0921745011651811,0.1162979979954784,0.6557812404658925
74.0,79.0,12.0,3.3226750601137693,0.339274514955566,0.2946236419952057,0.001,0.317,0.327,0.0806670774927322,0.0954735272716758,0.1197691448290971,0.714185039639821
74.0,79.0,40.0,2.912927728487509,2.3085569201408846,0.202165854921345,0.002,0.025,0.375,0.0806670774927322,0.0960068606937191,0.1159922051677654,0.7048590553005206
75.0,91.0,13.0,3.120292160195095,3.832578896293588,0.5326533234779934,0.001,0.002,0.257,0.0402344506681799,0.0689067764420221,0.1088929770597891,0.617720580266801
75.0,91.0,73.0,2.9453442464098245,1.450259497398488,0.2386829357713749,0.002,0.085,0.538,0.0402344506681799,0.0860529889155387,0.1073243064753509,0.5434159023747911
75.0,91.0,79.0,3.7834430130771706,2.7712452043161604,2.9816079142781904,0.001,0.012,0.006,0.0402344506681799,0.0918287526613153,0.112705993357787,0.6391314759797115
75.0,91.0,95.0,3.0821887144961515,2.3007923260647978,0.7075523807107839,0.004,0.026,0.212,0.0402344506681799,0.0741097838095205,0.1083078782263207,0.6197925370240273
78.0,85.0,28.0,2.884951858228036,2.4883401793681617,1.8862650618555967,0.003,0.021,0.044,0.0492317194302236,0.0708596175271415,0.1054981121341881,0.6441478965647572
81.0,99.0,10.0,3.179001002283094,1.7255099823081608,2.092093716303274,0.003,0.055,0.029,0.0784265577303973,0.0769236419096042,0.1057778889840361,0.5877745053740963
81.0,99.0,40.0,3.1151781542045747,1.6714155427272457,0.7672640792389419,0.002,0.064,0.204,0.0784265577303973,0.0974076990047317,0.1062043233451573,0.7125064080407741
82.0,91.0,12.0,2.9375072814573064,0.9422149462252112,0.4529007695162824,0.003,0.163,0.64,0.1482475059860801,0.1298154193437375,0.1250941581290661,0.6059221072553844
