node1,node2,reg,MI,CMI,Theta_Sigma,Theta_T,Theta_Tn,Sigma,P,P_T,P_Tn,S
ASCL1,VSX2,STAT5A,0.642141546961342,0.211913808491513,4.03033533252079,3.9477565592094304,1.48937033633844,0.318484160755671,0.001,0.001,0.947,0.47413476027843326
ASCL1,EN1,CDX1,0.850179722093623,0.243903545477294,3.52421534722094,3.37606573429017,3.60362009364684,0.313321698594717,0.001,0.002,0.004,0.4343848688628958
TP53,IRF5,ZNF683,0.0002157495608199,0.135200677699919,4.58297805224857,4.97245913402152,4.07685773876488,0.180636797265154,0.001,0.001,0.002,0.6697344494382892
PKNOX1,HOXB6,SP4,0.145417535862083,0.224568169179209,4.5968472195604,4.47704249425413,3.45531609701393,0.196674012648954,0.001,0.001,0.001,0.6824252162379938
SRF,ELK4,HLF,0.0748589495795913,0.183994590072147,4.2897378651961,4.03284152860492,4.39121568331661,0.241338282139964,0.001,0.003,0.002,0.6626136539721221
AHR,ARNT,HMGA2,0.0,0.127743152101241,3.82551373233405,3.25859504725489,2.40102838802762,0.159431832220181,0.001,0.007,0.027,0.6652695537830976
ARX,MEF2A,ETV2,0.0,0.110281488682776,4.58768534089591,4.72539788890417,4.76947636861328,0.172379785611506,0.001,0.001,0.001,0.8199006970230414
EP300,MTF1,HOXA1,0.10278891425672,0.214080241162043,4.19445626262995,4.76872432613769,5.164977941814209,0.226306548409974,0.001,0.001,0.001,0.7580694169947071
SMAD3,TGIF2,HOXA9,0.11652388441256,0.211721873284927,4.69413682045138,4.77973708249668,1.44803507028575,0.243881779530968,0.001,0.001,0.948,0.6437256307074187
SMAD4,SMAD5,HOXB5,0.378892529911935,0.371157586692988,3.70251458622292,3.96162335786176,0.81541975405184,0.308257562774327,0.001,0.001,0.779,0.6228573880397257
TP53,HIC1,HIF1A,0.0,0.106586413575792,3.84329517488574,3.84193936377752,4.21193420119803,0.15951188213214,0.001,0.001,0.001,0.6420268859207411
TP53,ID4,ARNT,0.089819834578305,0.147842951368857,4.89474918444795,4.79445793738405,3.24824209457374,0.221542275041328,0.001,0.001,0.004,0.5882089159268472
FOXJ3,ZBTB18,ZFHX3,0.0423668025406498,0.0929791096232294,3.96464293414451,3.87574375175217,4.32358395128949,0.176710196870743,0.001,0.002,0.001,0.7462933781111307
ATF2,CREB3L2,NKX2-3,0.0768540476885082,0.183119795663864,6.59712453633681,6.37286348995319,1.48036195599939,0.292662079238138,0.001,0.001,0.966,0.6994034673911086
ELF1,TFDP1,KDM2B,0.0,0.180421308687964,5.78346790059793,6.24878648421104,1.09691799879506,0.216104075575711,0.001,0.001,0.134,0.6657445316467453
ASCL1,NEUROG2,HLF,1.14962609331495,0.475138822400898,3.6363673906458094,2.67703873989851,2.4255362210051,0.380620110011005,0.001,0.008,0.02,0.4486446276254032
