node1,node2,reg,Theta_Sigma,Theta_T,Theta_Tn,P,P_T,P_Tn,MI,CMI,Sigma
1.0,2.0,10.0,2.027957099590705,1.0196637282880967,1.189164085501569,0.026,0.148,0.895,0.40549802813849034,0.24447436175201553,0.10818947200049815
1.0,2.0,3.0,0.6440623752424658,0.3844848036666968,0.9415171899547466,0.743,0.608,0.834,0.40549802813849034,0.24197982442403265,0.09891858900655004
1.0,2.0,4.0,1.8559448671893124,1.3823134378985473,0.2072728448266872,0.03,0.941,0.537,0.40549802813849034,0.1193680415926367,0.10760608040626594
1.0,2.0,5.0,4.503561589797469,3.7218886143001653,0.828543566868872,0.001,0.001,0.797,0.40549802813849034,0.2986075890231369,0.11700492523441398
1.0,2.0,6.0,0.34758637191981495,0.48986567961297706,1.5423197296648734,0.367,0.676,0.968,0.40549802813849034,0.2011832415881701,0.1025630810035794
1.0,2.0,7.0,2.6684608459003814,0.6698050427720635,0.009945047227517883,0.003,0.242,0.451,0.40549802813849034,0.27833187186988473,0.11058511698770208
1.0,2.0,8.0,0.27058707009982086,0.45810891030992057,1.2236961398776924,0.398,0.643,0.92,0.40549802813849034,0.27598331214191746,0.1021001663191503
1.0,2.0,9.0,0.7581077216482437,0.891513414708845,0.12167038577518606,0.226,0.171,0.48,0.40549802813849034,0.21407387918422952,0.1040212452371051
1.0,4.0,10.0,55.51524726537485,9.54213936458462,1.2155745507599962,0.001,0.001,0.902,0.9233893571142175,0.5659709906810536,0.3666567064842452
1.0,4.0,2.0,23.815868379810777,5.955806447157243,0.9694603003403065,0.001,0.001,0.847,0.9233893571142175,0.6496060450778438,0.22848039464670034
1.0,4.0,3.0,71.35931327382269,12.945317336919416,1.4800292295461825,0.001,0.001,0.953,0.9233893571142175,0.6277038798798571,0.4290573067273337
1.0,4.0,5.0,45.486542006626884,10.321423994651722,0.791607189710494,0.001,0.001,0.789,0.9233894846652388,0.714988158599016,0.3156435198383544
1.0,4.0,6.0,51.33899377430832,9.167004177887826,1.8951432547257134,0.001,0.001,0.995,0.9233893571142175,0.5524185762842103,0.35752848673605536
1.0,4.0,7.0,45.94383321446699,10.265845521265337,0.8817152433514577,0.001,0.001,0.814,0.9233893571142175,0.6927482534904654,0.32664899591842367
1.0,4.0,8.0,51.37505578983033,11.325226026816793,1.7330964032755918,0.001,0.001,0.98,0.9233892166647797,0.6375007479933014,0.34076835832618785
1.0,4.0,9.0,46.362075365434215,7.545911500415127,1.5734252628619105,0.001,0.001,0.972,0.9233894846652388,0.45825340292577027,0.32990558781640045
1.0,6.0,10.0,3.109464441341386,1.8458249081003213,2.2635926893391622,0.999,0.99,0.998,0.4670898825507752,0.1767716122610664,0.0932977199612708
1.0,6.0,2.0,0.7883540844250541,0.20902668628092327,1.2566396270407572,0.78,0.565,0.916,0.4670898825507752,0.2701489651478151,0.1021217939995687
1.0,6.0,3.0,5.793463062317753,3.9996827597224156,2.988920455033474,1.0,1.0,1.0,0.4670898825507752,0.10226798311796788,0.08391674991674523
1.0,6.0,4.0,8.689156884176073,4.350319466146517,1.6861256729046776,1.0,1.0,0.976,0.4670898825507752,0.0934604236862555,0.07282067833015146
1.0,6.0,5.0,2.8502417273575817,2.3700180366015804,1.8193539183573892,0.994,0.999,0.989,0.4670898825507752,0.2353361650973544,0.09427639421578825
1.0,6.0,7.0,1.5848011024394748,2.0220690536330346,0.5441475525898958,0.95,0.992,0.678,0.4670898825507752,0.2129606620372995,0.0992802197769494
1.0,6.0,8.0,3.541707154265919,0.3845900192331552,0.07708940324314674,1.0,0.62,0.451,0.4670898825507752,0.17834824327863255,0.09201979985070097
1.0,6.0,9.0,4.9855922244712065,4.022012608001902,1.9587086111513785,1.0,1.0,0.997,0.4670898825507752,0.1260692859631409,0.08580320568264235
3.0,6.0,10.0,29.074071627168767,4.512123282359336,2.9181327684276153,0.001,0.001,1.0,0.8056430484778101,0.4439921009970621,0.24872586128586527
3.0,6.0,1.0,23.365056985632773,4.689819392842366,1.77957638279848,0.001,0.001,0.985,0.8056430484778101,0.44473705298304333,0.22755795097420015
3.0,6.0,2.0,18.67697307682089,7.322397764031264,0.4940462823098075,0.001,0.001,0.671,0.8056430484778101,0.6537986911900455,0.20387980199799124
3.0,6.0,4.0,26.139477917681834,8.894813723319142,0.3406526160986185,0.001,0.001,0.591,0.8056430484778101,0.441147719275955,0.23673164937829907
3.0,6.0,5.0,35.49261187257995,9.190378693261808,1.94590896157018,0.001,0.001,0.995,0.8056430484778101,0.5043228985642481,0.2779138458940025
3.0,6.0,7.0,31.549463889777535,8.753344213355813,0.5656344733740735,0.001,0.001,0.688,0.8056432422762594,0.4752195292622423,0.2601691612585445
3.0,6.0,8.0,55.67737654570656,7.173115153880908,0.8867165525240482,0.001,0.001,0.16,0.8056430484778101,0.45763220333105586,0.3567642183970289
3.0,6.0,9.0,27.917636835578417,5.748733733333573,0.958960626083687,0.001,0.001,0.844,0.8056430484778101,0.4313821451357599,0.24493123112417645
3.0,8.0,10.0,2.9906478435573707,1.8363681284103828,1.4035400316512388,1.0,0.979,0.952,0.5089341599082982,0.17162723699841295,0.09333139275436272
3.0,8.0,1.0,2.1732740127900914,2.0789531368636727,1.5057130323159238,0.993,0.995,0.968,0.5089341599082982,0.22989783521371618,0.0966464818931419
3.0,8.0,2.0,0.5163321353327102,1.6937853024452336,0.3976768405828672,0.309,0.052,0.325,0.5089340768518209,0.387277045043211,0.10675840410633823
3.0,8.0,4.0,2.1690388344875604,1.337045242881864,1.8812913264836064,0.983,0.93,0.99,0.5089340768518209,0.1952935252365454,0.09690192499394415
3.0,8.0,5.0,3.004411395335093,2.047022799495118,1.4169639577289332,0.999,0.998,0.96,0.5089342710194096,0.20755050954085522,0.09348831371732207
3.0,8.0,6.0,5.275386928190778,2.7728678723508295,2.179004761990119,1.0,1.0,0.999,0.5089342710194096,0.14677420678483352,0.08561480198346237
3.0,8.0,7.0,1.7731250304228512,2.6616480259468416,2.3779529268255133,0.962,1.0,0.999,0.5089341599082982,0.2083544529361548,0.0982868989855752
3.0,8.0,9.0,5.535052877709858,2.518670592310534,1.7642198083996004,1.0,0.999,0.982,0.5089340768518209,0.15314288277614962,0.08459807385655288
3.0,10.0,1.0,2.1405493943896423,0.5972143721627056,2.1338193915040873,0.984,0.713,0.995,0.49424895343755715,0.19374492484135364,0.09720972060277724
3.0,10.0,2.0,0.5585806654371679,1.0083558790929101,3.060608044426236,0.284,0.153,0.01,0.49424895343755715,0.3631430815160103,0.10708478668530373
3.0,10.0,4.0,3.6513869464111703,2.3942524783136094,2.0701751387044327,1.0,0.998,0.997,0.49424895343755715,0.15618190761154688,0.09100999431884065
3.0,10.0,5.0,0.059955786029786406,1.2922376560245852,0.09541205762068222,0.493,0.102,0.482,0.49424895343755715,0.26280269869429823,0.10516342392755529
3.0,10.0,6.0,5.642957565129492,3.4049236354876355,2.2858463493274566,1.0,1.0,0.999,0.49424895343755715,0.11438201410045756,0.08335932618582025
3.0,10.0,7.0,0.9954903829702332,1.360813730122367,2.650590617323645,0.833,0.098,0.999,0.49424895343755715,0.25602473461426817,0.1013063512147141
3.0,10.0,8.0,3.9551721900427257,2.817256579234962,1.8762490120133797,1.0,0.999,0.992,0.49424895343755715,0.15447385491323812,0.090423548924601
3.0,10.0,9.0,8.183763399250164,4.481879619910619,1.959646938402449,1.0,1.0,0.998,0.49424895343755715,0.09530937548764747,0.07458029831337837
4.0,9.0,10.0,3.3094946816066195,2.2942496045417022,2.76698008974912,0.999,0.997,0.999,0.7669782435515664,0.24186411356805565,0.1091700199958604
4.0,9.0,1.0,23.593427609456857,5.376531381017801,1.0704682956531772,0.001,0.001,0.872,0.7669782435515664,0.2932634779684475,0.22633782613633394
4.0,9.0,2.0,15.65606912103934,5.84695663353075,0.3369881374690433,0.001,0.001,0.592,0.7669782435515664,0.5716354668000111,0.19047700037597126
4.0,9.0,3.0,24.001651625790977,5.994433700956505,0.17567615890670132,0.001,0.001,0.527,0.7669782435515664,0.4065474510763163,0.22678032640766482
4.0,9.0,5.0,51.75284796529196,8.340532714287994,1.2004801356217607,0.001,0.001,0.911,0.7669782435515664,0.5912774170974071,0.35033526190727676
4.0,9.0,6.0,29.714785410025126,5.463670874905442,1.0946492258055054,0.001,0.001,0.889,0.7669782435515664,0.40591683874783685,0.25412854045794536
4.0,9.0,7.0,61.04229795576104,10.755838999608418,1.383567048019129,0.001,0.001,0.939,0.7669782435515664,0.6000560582241018,0.3938858197815448
4.0,9.0,8.0,29.538296352174502,7.864301548439609,0.9937621989748061,0.001,0.001,0.867,0.7669782435515664,0.4398242811737167,0.2556035607450367
5.0,7.0,10.0,49.966320246792925,11.011246026726742,0.37011035294267985,0.001,0.001,0.61,0.9178513081291451,0.7319127929710112,0.3438195908885673
5.0,7.0,1.0,57.893362684390084,9.556976127198107,1.6861085785207142,0.001,0.001,0.981,0.9178513081291451,0.756676329231756,0.37420544958182245
5.0,7.0,2.0,39.92143908595464,10.087758774353302,1.1578205837529971,0.001,0.001,0.891,0.9178513081291451,0.8388723884635926,0.2989950536261542
5.0,7.0,3.0,51.772201304065064,11.59637799348117,0.15416587672725643,0.001,0.001,0.388,0.9178513081291451,0.6377137518376559,0.34292045986006076
5.0,7.0,4.0,68.96956242175034,11.229541063780816,0.2899097673397029,0.001,0.001,0.57,0.9178513081291451,0.7727966931669775,0.41240017596519324
5.0,7.0,6.0,39.19438130957181,11.09245832179894,0.5703508701335211,0.001,0.001,0.703,0.9178513081291451,0.5764613857797867,0.29986781432704
5.0,7.0,8.0,33.074115359435574,7.235373737266985,0.26845644502554855,0.001,0.001,0.563,0.9178513081291451,0.5843246908812265,0.2730854152691037
5.0,7.0,9.0,55.93988552237537,10.173493683830554,0.39836698877883164,0.001,0.001,0.619,0.9178513081291451,0.7182480393366489,0.3669471838054606
5.0,8.0,10.0,0.17534952104708837,0.845198057249237,1.0463981801155189,0.564,0.809,0.878,0.43415427336135526,0.20092867471225084,0.10130750879031253
5.0,8.0,1.0,0.753221180669734,3.1034702153870146,1.5037445719252354,0.776,0.006,0.08,0.4341543130438952,0.21467816379201488,0.09938221514019874
5.0,8.0,2.0,2.831346031033391,2.9432814820271136,2.0282831172317,0.003,0.006,0.039,0.4341543130438952,0.3309233611655474,0.11216697884439736
5.0,8.0,3.0,2.569231357981248,0.820370404064324,2.2452506032949984,0.996,0.193,1.0,0.4341543130438952,0.13251267770518035,0.09244026922596059
5.0,8.0,4.0,0.0018355498084285332,0.021771321423430016,1.67800625311812,0.495,0.461,0.98,0.43415427336135526,0.20343807384502646,0.10198523641104883
5.0,8.0,6.0,4.481689456535505,0.7620128510175115,2.667036585437957,1.0,0.217,1.0,0.4341543130438952,0.12191168635783288,0.08504423206057538
5.0,8.0,7.0,5.242311013037643,3.377408714356272,0.7009416066975811,1.0,1.0,0.738,0.4341543130438952,0.08716801825624947,0.08334403408684211
5.0,8.0,9.0,2.9292601846028874,1.6624321369986585,0.295577163821621,1.0,0.971,0.589,0.4341543130438952,0.17231920473634388,0.09142507483952131
6.0,7.0,10.0,1.2930994562871965,0.05873618322744492,1.3153527223210568,0.906,0.492,0.927,0.4494645108033781,0.21725851536274532,0.09818299509557246
6.0,7.0,1.0,1.2858941580511092,0.5640343144701276,2.0082764748812854,0.898,0.683,0.034,0.4494645108033781,0.1996420273457278,0.09843198968515152
6.0,7.0,2.0,0.5837850661947658,0.4104167149244909,0.938062044070312,0.709,0.313,0.832,0.4494645108033781,0.3347381350282304,0.10082828226086357
6.0,7.0,3.0,3.9845894828449464,2.363950736205256,2.1014191963186537,1.0,0.996,0.998,0.4494645108033781,0.1149447329716622,0.08777881312357663
6.0,7.0,4.0,1.740320285570955,1.406265678705573,1.247728007033514,0.96,0.937,0.917,0.4494645108033781,0.20303312021057365,0.09701898374717188
6.0,7.0,5.0,9.017508700953714,5.070221115651324,2.154141716931601,1.0,1.0,0.998,0.4494645108033781,0.0967613173131467,0.07043000766058813
6.0,7.0,8.0,4.857543121132977,3.769898899362313,1.803928185941139,1.0,1.0,0.993,0.4494645108033781,0.13371709891343114,0.08496327590392255
6.0,7.0,9.0,1.3637381017915884,0.026125501262052955,0.39474303868164445,0.914,0.472,0.61,0.4494645108033781,0.19104501054496795,0.09840606865399548
8.0,9.0,10.0,4.107489068816075,1.749146263017758,2.4403219991306195,1.0,0.98,1.0,0.47182662331096736,0.16817923114597577,0.08988733890919877
8.0,9.0,1.0,1.1946502718841538,1.0454326912286114,0.6484200227604012,0.891,0.865,0.71,0.47182662331096736,0.1750438076836959,0.09975785866836212
8.0,9.0,2.0,2.4400341697480465,1.130097000670616,0.9696928504738407,0.005,0.131,0.857,0.4718267899776336,0.3411210847032591,0.11336928063654704
8.0,9.0,3.0,4.493718776667047,2.794799644889041,0.5225904634969843,1.0,1.0,0.66,0.47182662331096736,0.12207108601482056,0.08763967982369776
8.0,9.0,4.0,4.434864787212806,1.7987345935496635,1.9482030219840425,1.0,0.984,0.998,0.47182662331096736,0.1314832680957971,0.08800350944141036
8.0,9.0,5.0,1.2680368224431668,1.135715854165981,1.2236088916294696,0.901,0.886,0.904,0.47182662331096736,0.20627849034822587,0.0997534591534601
8.0,9.0,6.0,3.1783863421484546,3.2508429501714193,1.2081567410241558,0.999,1.0,0.919,0.47182662331096736,0.14052053896046574,0.09304983739812213
8.0,9.0,7.0,0.13748767663242964,0.4373261641134337,2.1214981301061213,0.447,0.641,0.999,0.47182662331096736,0.20998411199588368,0.10479058054044592
9.0,10.0,1.0,24.368152648449062,7.825195156213861,1.3245107497585276,0.001,0.001,0.936,0.8034854056111538,0.44968357613818005,0.23463792061528918
9.0,10.0,2.0,16.97594638232189,6.359879960043309,0.23984846074267768,0.001,0.001,0.356,0.8034854056111538,0.6549161291516566,0.19828258611379765
9.0,10.0,3.0,30.54965235172357,6.718097712892336,1.7598497027872868,0.001,0.001,0.991,0.8034854056111538,0.41152321685000615,0.2593786058098308
9.0,10.0,4.0,3.71095849790509,0.49055068351600384,2.207917401890681,0.001,0.671,0.999,0.8034854056111538,0.2717119559213829,0.14155969965953566
9.0,10.0,5.0,35.72672540182995,10.062503630529827,1.9701366974682781,0.001,0.001,0.997,0.8034854056111538,0.5882394679892085,0.28722952414139896
9.0,10.0,6.0,26.951461884635894,4.3939129993684105,1.895453542547068,0.001,0.001,0.989,0.8034854056111538,0.45473825869479,0.24381103929754633
9.0,10.0,7.0,31.737472637804245,6.754804543559087,2.2116256230326123,0.001,0.001,1.0,0.8034854056111538,0.5831091472464525,0.2678744462503443
9.0,10.0,8.0,55.297750292032035,9.785394951057198,2.167139760842837,0.001,0.001,0.999,0.8034855608906568,0.5103386378401195,0.3712006741869973
