node1,node2,reg,Theta_Sigma,Theta_T,Theta_Tn,P,P_T,P_Tn,MI,CMI,Sigma
1.0,24.0,100.0,0.09874170613505896,1.593885997648478,0.07192560766236047,0.5,0.1,0.4,0.047730099875285426,0.06467334596873064,0.0774386459195615
1.0,24.0,10.0,1.225461180422065,0.048437341295710104,0.05671327002783623,0.12,0.42,0.48,0.047730099875285426,0.06837826946260676,0.08960712489802233
1.0,24.0,11.0,0.1592086097320684,0.682291215947529,0.13601466684754832,0.6,0.8,0.5,0.047730099875285426,0.06328010090996462,0.07401815968157809
1.0,24.0,12.0,0.4329504974389057,0.7188552205935539,0.36024774310674323,0.35,0.73,0.57,0.047730099875285426,0.07332021947044358,0.08094217412480927
1.0,24.0,13.0,0.1058339435874415,0.03237400485239202,0.35943664225502014,0.3,0.5,0.3,0.047730099875285426,0.05725240314319831,0.07454479020264859
1.0,24.0,14.0,0.543894633877048,0.5605910559915728,0.2742073900573321,0.4,0.6,0.5,0.047730099875285426,0.05918797170547719,0.08070359573527074
1.0,24.0,15.0,0.07385265947972419,0.4555527477942809,1.2619575075996763,0.5,0.4,1.0,0.047730099875285426,0.05411355337575917,0.07569021641194203
1.0,24.0,16.0,0.5559908028839396,0.04017830729725911,0.35375637663033976,0.4,0.4,0.3,0.047730099875285426,0.06868050125456936,0.08494630278030979
1.0,24.0,17.0,2.453458809104183,0.2405785209220642,0.6879372128658734,0.014,0.358,0.217,0.047730099875285426,0.06539114169731479,0.09788016691283086
1.0,24.0,18.0,0.10853937983081978,0.43076191888095705,0.016938792245436853,0.53,0.61,0.46,0.047730099875285426,0.06035970163504442,0.07769832876286652
1.0,24.0,19.0,0.15102123899733508,0.7799889715707704,0.12366651226565954,0.4,0.8,0.4,0.047730099875285426,0.0622411978970586,0.07750040807899716
1.0,24.0,20.0,1.2413962852578828,1.4001810018049967,1.694632069234461,0.15,0.09,0.05,0.047730099875285426,0.056275447640042525,0.08784625787515828
1.0,24.0,21.0,0.14797059333140206,0.5487656669750782,0.5802146936762547,0.7,0.2,0.7,0.047730099875285426,0.059748489832155575,0.07568390033453794
1.0,24.0,22.0,0.4606442575871277,0.6873597057003651,0.666549953828463,0.6,0.9,0.7,0.047730099875285426,0.0625947941080106,0.0777505660787525
1.0,24.0,23.0,0.17221991766846576,0.6722500815662146,0.24003407557002412,0.5,0.7,0.5,0.047730099875285426,0.06222356524959741,0.07916338191275778
1.0,24.0,25.0,0.8896000472040257,1.9490920474485418,2.3817560802841014,0.18,0.03,0.01,0.047730099875285426,0.0627416264030865,0.08618450209963938
1.0,24.0,26.0,1.1033942509923338,1.4662671806461072,2.0798291620223712,0.16,0.09,0.04,0.047730099875285426,0.06889445467849462,0.08742006211391357
1.0,24.0,27.0,2.541205030251352,0.9035072247474712,1.2166600146701063,0.011,0.177,0.123,0.047730099875285426,0.07653516084491203,0.09895197405017207
1.0,24.0,28.0,3.2371029189501335,6.251282023905858,2.293055347124005,0.002,0.001,0.021,0.047730099875285426,0.06556436840522377,0.1045073910297712
1.0,24.0,29.0,0.0822182607357962,1.0821491590024557,1.588702011616252,0.6,0.1,0.1,0.047730099875285426,0.05416729432740891,0.07570466667500031
1.0,24.0,2.0,1.2273490796840945,0.015057016905831331,0.9789024951645859,0.09,0.43,0.87,0.047730099875285426,0.07016245899858696,0.0886883102541666
1.0,24.0,30.0,1.8972384526681028,3.068465396447203,0.7071457618160963,0.037,0.005,0.202,0.047730099875285426,0.06541246047470362,0.09307796029653466
1.0,24.0,31.0,0.15993336425461152,0.12906314108086617,0.8825241292622307,0.5,0.5,0.2,0.047730099875285426,0.059337301765644085,0.0790313975849896
1.0,24.0,32.0,0.6964384016527653,0.4023567905594713,0.015227956646443672,0.3,0.6,0.3,0.047730099875285426,0.06553491304688035,0.07932954517468578
1.0,24.0,33.0,1.6762077734402774,1.1522686354525185,1.4528165693673765,0.06,0.14,0.07,0.047730099875285426,0.06311127921575059,0.09198133017832814
1.0,24.0,34.0,0.9242038026990523,1.9245680439213433,1.718402996947053,0.3,0.1,0.1,0.047730099875285426,0.057706044480434225,0.08919039511741876
1.0,24.0,35.0,1.534861606310551,0.10885544332663598,1.840681098996117,1.0,0.3,1.0,0.047730099875285426,0.04595591748368522,0.06853016618716733
1.0,24.0,36.0,0.23110146838386686,0.48192461521481356,0.5261668711419095,0.4,0.6,0.6,0.047730099875285426,0.05728840472657083,0.07917592594996592
1.0,24.0,37.0,2.591621328094727,1.6840146662738065,0.8552307524830168,0.007,0.061,0.172,0.047730099875285426,0.08344648599271279,0.09998664673219705
1.0,24.0,38.0,2.0910840975236407,1.1350944135829242,1.4993818354891821,0.03,0.13,0.08,0.047730099875285426,0.07663424232097754,0.09733439225635025
1.0,24.0,39.0,0.28700463808274246,0.28037587572432526,1.2505209226060254,0.4,0.4,1.0,0.047730099875285426,0.05477725364407645,0.08258664222534039
1.0,24.0,3.0,0.19150544153180524,0.49773320526622006,0.7951648911101742,0.3,0.8,0.8,0.047730099875285426,0.06305052904752137,0.07781028763952148
1.0,24.0,40.0,0.9373566173721452,1.1044748196804641,1.0217189240260853,0.2,0.2,0.9,0.047730099875285426,0.07983463090916006,0.08580686369947396
1.0,24.0,41.0,1.997445292764885,0.7682333048008865,1.1026120827640304,0.04,0.24,0.14,0.047730099875285426,0.061973384329782666,0.09504470777292907
1.0,24.0,42.0,0.2043157502298328,1.3721101063057137,0.897749836810124,0.3,0.9,0.8,0.047730099875285426,0.07263716158842685,0.07857940179805271
1.0,24.0,43.0,1.0570570992315658,0.7425219390398335,0.2998809038167842,0.9,0.8,0.5,0.047730099875285426,0.04502379760019501,0.06469446524592594
1.0,24.0,44.0,1.3747918794644727,1.8519391287804852,0.450912276324285,0.09,0.03,0.35,0.047730099875285426,0.06797514169977494,0.08945466582644462
